nazev_kraje,rok,lidi
Hlavní město Praha,2015,"1,267,449 "
Hlavní město Praha,2016,"1,280,508 "
Hlavní město Praha,2017,"1,294,513 "
Hlavní město Praha,2018,"1,308,632 "
Hlavní město Praha,2019,"1,324,277 "
Hlavní město Praha,2020,"1,335,084 "
Hlavní město Praha,2021,"1,275,406 "
Hlavní město Praha,2022,"1,357,326 "
Hlavní město Praha,2023,"1,384,732 "
Hlavní město Praha,2024,"1,397,880 "
Jihomoravský kraj,2015,"1,175,025 "
Jihomoravský kraj,2016,"1,178,812 "
Jihomoravský kraj,2017,"1,183,207 "
Jihomoravský kraj,2018,"1,187,667 "
Jihomoravský kraj,2019,"1,191,989 "
Jihomoravský kraj,2020,"1,195,327 "
Jihomoravský kraj,2021,"1,184,568 "
Jihomoravský kraj,2022,"1,217,200 "
Jihomoravský kraj,2023,"1,226,749 "
Jihomoravský kraj,2024,"1,229,343 "
Jihočeský kraj,2015,"637,834 "
Jihočeský kraj,2016,"638,782 "
Jihočeský kraj,2017,"640,196 "
Jihočeský kraj,2018,"642,133 "
Jihočeský kraj,2019,"644,083 "
Jihočeský kraj,2020,"643,551 "
Jihočeský kraj,2021,"637,047 "
Jihočeský kraj,2022,"652,303 "
Jihočeský kraj,2023,"654,505 "
Jihočeský kraj,2024,"653,227 "
Karlovarský kraj,2015,"297,828 "
Karlovarský kraj,2016,"296,749 "
Karlovarský kraj,2017,"295,686 "
Karlovarský kraj,2018,"294,896 "
Karlovarský kraj,2019,"294,664 "
Karlovarský kraj,2020,"293,311 "
Karlovarský kraj,2021,"283,210 "
Karlovarský kraj,2022,"293,595 "
Karlovarský kraj,2023,"295,077 "
Karlovarský kraj,2024,"293,195 "
Kraj Vysočina,2015,"509,475 "
Kraj Vysočina,2016,"508,952 "
Kraj Vysočina,2017,"508,916 "
Kraj Vysočina,2018,"509,274 "
Kraj Vysočina,2019,"509,813 "
Kraj Vysočina,2020,"508,852 "
Kraj Vysočina,2021,"504,025 "
Kraj Vysočina,2022,"514,777 "
Kraj Vysočina,2023,"517,960 "
Kraj Vysočina,2024,"517,647 "
Královéhradecký kraj,2015,"551,421 "
Královéhradecký kraj,2016,"550,804 "
Královéhradecký kraj,2017,"551,089 "
Královéhradecký kraj,2018,"551,021 "
Královéhradecký kraj,2019,"551,647 "
Královéhradecký kraj,2020,"550,803 "
Královéhradecký kraj,2021,"542,583 "
Královéhradecký kraj,2022,"555,267 "
Královéhradecký kraj,2023,"556,949 "
Královéhradecký kraj,2024,"555,923 "
Liberecký kraj,2015,"439,639 "
Liberecký kraj,2016,"440,636 "
Liberecký kraj,2017,"441,300 "
Liberecký kraj,2018,"442,356 "
Liberecký kraj,2019,"443,690 "
Liberecký kraj,2020,"442,476 "
Liberecký kraj,2021,"437,570 "
Liberecký kraj,2022,"449,177 "
Liberecký kraj,2023,"450,728 "
Liberecký kraj,2024,"449,494 "
Moravskoslezský kraj,2015,"1,213,311 "
Moravskoslezský kraj,2016,"1,209,879 "
Moravskoslezský kraj,2017,"1,205,886 "
Moravskoslezský kraj,2018,"1,203,299 "
Moravskoslezský kraj,2019,"1,200,539 "
Moravskoslezský kraj,2020,"1,192,834 "
Moravskoslezský kraj,2021,"1,177,989 "
Moravskoslezský kraj,2022,"1,189,674 "
Moravskoslezský kraj,2023,"1,189,204 "
Moravskoslezský kraj,2024,"1,182,613 "
Olomoucký kraj,2015,"634,718 "
Olomoucký kraj,2016,"633,925 "
Olomoucký kraj,2017,"633,178 "
Olomoucký kraj,2018,"632,492 "
Olomoucký kraj,2019,"632,015 "
Olomoucký kraj,2020,"630,522 "
Olomoucký kraj,2021,"622,930 "
Olomoucký kraj,2022,"631,802 "
Olomoucký kraj,2023,"632,864 "
Olomoucký kraj,2024,"631,500 "
Pardubický kraj,2015,"516,149 "
Pardubický kraj,2016,"517,087 "
Pardubický kraj,2017,"518,337 "
Pardubický kraj,2018,"520,316 "
Pardubický kraj,2019,"522,662 "
Pardubický kraj,2020,"522,856 "
Pardubický kraj,2021,"514,518 "
Pardubický kraj,2022,"528,761 "
Pardubický kraj,2023,"530,560 "
Pardubický kraj,2024,"530,469 "
Plzeňský kraj,2015,"576,616 "
Plzeňský kraj,2016,"578,629 "
Plzeňský kraj,2017,"580,816 "
Plzeňský kraj,2018,"584,672 "
Plzeňský kraj,2019,"589,899 "
Plzeňský kraj,2020,"591,041 "
Plzeňský kraj,2021,"578,707 "
Plzeňský kraj,2022,"605,388 "
Plzeňský kraj,2023,"613,374 "
Plzeňský kraj,2024,"614,640 "
Středočeský kraj,2015,"1,326,876 "
Středočeský kraj,2016,"1,338,982 "
Středočeský kraj,2017,"1,352,795 "
Středočeský kraj,2018,"1,369,332 "
Středočeský kraj,2019,"1,385,141 "
Středočeský kraj,2020,"1,397,997 "
Středočeský kraj,2021,"1,386,824 "
Středočeský kraj,2022,"1,439,391 "
Středočeský kraj,2023,"1,455,940 "
Středočeský kraj,2024,"1,466,215 "
Zlínský kraj,2015,"584,676 "
Zlínský kraj,2016,"583,698 "
Zlínský kraj,2017,"583,056 "
Zlínský kraj,2018,"582,921 "
Zlínský kraj,2019,"582,555 "
Zlínský kraj,2020,"580,119 "
Zlínský kraj,2021,"572,432 "
Zlínský kraj,2022,"580,531 "
Zlínský kraj,2023,"580,744 "
Zlínský kraj,2024,"578,998 "
Ústecký kraj,2015,"822,826 "
Ústecký kraj,2016,"821,377 "
Ústecký kraj,2017,"821,080 "
Ústecký kraj,2018,"820,789 "
Ústecký kraj,2019,"820,965 "
Ústecký kraj,2020,"817,004 "
Ústecký kraj,2021,"798,898 "
Ústecký kraj,2022,"812,337 "
Ústecký kraj,2023,"811,169 "
Ústecký kraj,2024,"808,356 "
Česká republika,2015,"10,553,843 "
Česká republika,2016,"10,578,820 "
Česká republika,2017,"10,610,055 "
Česká republika,2018,"10,649,800 "
Česká republika,2019,"10,693,939 "
Česká republika,2020,"10,701,777 "
Česká republika,2021,"10,516,707 "
Česká republika,2022,"10,827,529 "
Česká republika,2023,"10,900,555 "
Česká republika,2024,"10,909,500 "
